Quartal,GmbH,Abfindungen,Remanenz,Total_Cashout
Q1,Stahl_Produktion_GmbH,24957238.04,693750.0,25650988.04
Q2,Stahl_Produktion_GmbH,74871714.13,2775000.0,77646714.13
Q3,Stahl_Produktion_GmbH,99828952.17,5550000.0,105378952.17
Q4,Stahl_Produktion_GmbH,49914476.09,6937500.0,56851976.09
Q1,Logistik_Sued_GmbH,17260218.65,1665000.0,18925218.65
Q2,Logistik_Sued_GmbH,17260218.65,3330000.0,20590218.65
Q3,Logistik_Sued_GmbH,8630109.33,4162500.0,12792609.33
Q4,Logistik_Sued_GmbH,0.0,4162500.0,4162500.0
Q1,IT_Service_Holding,14595986.47,1942500.0,16538486.47
Q2,IT_Service_Holding,6255422.77,2775000.0,9030422.77
Q3,IT_Service_Holding,0.0,2775000.0,2775000.0
Q4,IT_Service_Holding,0.0,2775000.0,2775000.0
