MA_ID,GmbH,Alter,Dienstjahre,Brutto_Monat,Skill_Index,Montan,Status_Logik,Individuelle_Kosten
1000,Stahl_Produktion_GmbH,45,39,6858.38,0.21,True,TG_Potential,401215.23
1001,Stahl_Produktion_GmbH,50,15,7280.79,0.54,True,TG_Potential,163817.78
1002,Stahl_Produktion_GmbH,63,35,7015.70,0.46,True,Exklusion_Vorruhestand,368324.25
1003,Stahl_Produktion_GmbH,49,28,4456.51,0.23,True,TG_Potential,187173.42
1004,Stahl_Produktion_GmbH,61,24,6721.21,0.28,True,Exklusion_Vorruhestand,241963.56
1005,Stahl_Produktion_GmbH,47,35,6823.89,0.42,True,TG_Potential,358254.23
1006,Stahl_Produktion_GmbH,62,38,5605.34,0.23,True,Exklusion_Vorruhestand,319504.38
1007,Stahl_Produktion_GmbH,47,35,5119.03,0.53,True,TG_Potential,268749.07
1008,Stahl_Produktion_GmbH,45,22,6973.46,0.25,True,TG_Potential,230124.18
1009,Stahl_Produktion_GmbH,53,25,7409.59,0.34,True,TG_Potential,277859.63
1010,Stahl_Produktion_GmbH,50,16,7127.52,0.23,True,TG_Potential,171060.48
1011,Stahl_Produktion_GmbH,55,28,4151.64,0.24,True,TG_Potential,174368.88
1012,Stahl_Produktion_GmbH,62,15,4803.17,0.52,True,Exklusion_Vorruhestand,108071.33
1013,Stahl_Produktion_GmbH,57,23,6472.79,0.26,True,TG_Potential,223311.26
1014,Stahl_Produktion_GmbH,57,24,7538.88,0.37,True,TG_Potential,271399.68
1015,Stahl_Produktion_GmbH,48,38,4674.89,0.57,True,TG_Potential,266468.73
1016,Stahl_Produktion_GmbH,47,20,6326.75,0.25,True,TG_Potential,189802.50
1017,Stahl_Produktion_GmbH,45,20,3991.21,0.20,True,TG_Potential,119736.30
1018,Stahl_Produktion_GmbH,59,32,6063.03,0.53,True,TG_Potential,291025.44
1019,Stahl_Produktion_GmbH,53,21,7215.86,0.38,True,TG_Potential,227299.59
1020,Stahl_Produktion_GmbH,61,27,6989.61,0.36,True,Exklusion_Vorruhestand,283079.21
1021,Stahl_Produktion_GmbH,57,32,4348.30,0.27,True,TG_Potential,208718.40
1022,Stahl_Produktion_GmbH,50,16,7313.42,0.34,True,TG_Potential,175522.08
1023,Stahl_Produktion_GmbH,50,23,6544.97,0.22,True,TG_Potential,225801.46
1024,Stahl_Produktion_GmbH,51,29,5165.12,0.39,True,TG_Potential,224682.72
1025,Stahl_Produktion_GmbH,58,27,6941.62,0.47,True,TG_Potential,281135.61
1026,Stahl_Produktion_GmbH,53,37,7771.74,0.54,True,TG_Potential,431331.57
1027,Stahl_Produktion_GmbH,51,29,5039.50,0.33,True,TG_Potential,219218.25
1028,Stahl_Produktion_GmbH,48,17,4727.22,0.37,True,TG_Potential,120544.11
1029,Stahl_Produktion_GmbH,53,31,6573.10,0.35,True,TG_Potential,305649.15
1030,Stahl_Produktion_GmbH,58,17,4878.83,0.55,True,TG_Potential,124410.17
1031,Stahl_Produktion_GmbH,53,18,6131.22,0.26,True,TG_Potential,165542.94
1032,Stahl_Produktion_GmbH,47,29,3956.70,0.30,True,TG_Potential,172116.45
1033,Stahl_Produktion_GmbH,52,20,4763.70,0.46,True,TG_Potential,142911.00
1034,Stahl_Produktion_GmbH,64,18,7237.34,0.52,True,Exklusion_Vorruhestand,195408.18
1035,Stahl_Produktion_GmbH,49,28,5500.07,0.20,True,TG_Potential,231002.94
1036,Stahl_Produktion_GmbH,59,19,6992.73,0.30,True,TG_Potential,199292.80
1037,Stahl_Produktion_GmbH,54,31,5041.52,0.58,True,TG_Potential,234430.68
1038,Stahl_Produktion_GmbH,55,23,6882.39,0.21,True,TG_Potential,237442.46
1039,Stahl_Produktion_GmbH,56,30,7507.10,0.34,True,TG_Potential,337819.50
1040,Stahl_Produktion_GmbH,63,38,6280.79,0.31,True,Exklusion_Vorruhestand,358005.03
1041,Stahl_Produktion_GmbH,49,34,4775.16,0.46,True,TG_Potential,243533.16
1042,Stahl_Produktion_GmbH,64,28,6643.12,0.22,True,Exklusion_Vorruhestand,279011.04
1043,Stahl_Produktion_GmbH,45,24,3979.05,0.22,True,TG_Potential,143245.80
1044,Stahl_Produktion_GmbH,47,35,4402.38,0.23,True,TG_Potential,231124.95
1045,Stahl_Produktion_GmbH,51,17,7774.19,0.25,True,TG_Potential,198241.84
1046,Stahl_Produktion_GmbH,48,33,7128.62,0.40,True,TG_Potential,352866.69
1047,Stahl_Produktion_GmbH,47,25,6623.87,0.30,True,TG_Potential,248395.13
1048,Stahl_Produktion_GmbH,50,32,7049.49,0.38,True,TG_Potential,338375.52
1049,Stahl_Produktion_GmbH,45,36,5553.63,0.59,True,TG_Potential,299896.02
1050,Stahl_Produktion_GmbH,46,31,6521.25,0.45,True,TG_Potential,303238.13
1051,Stahl_Produktion_GmbH,48,18,5483.67,0.35,True,TG_Potential,148059.09
1052,Stahl_Produktion_GmbH,54,37,5891.25,0.37,True,TG_Potential,326964.38
1053,Stahl_Produktion_GmbH,56,29,5276.21,0.34,True,TG_Potential,229515.14
1054,Stahl_Produktion_GmbH,52,23,5965.07,0.33,True,TG_Potential,205794.91
1055,Stahl_Produktion_GmbH,51,25,4341.57,0.33,True,TG_Potential,162808.88
1056,Stahl_Produktion_GmbH,59,25,5277.63,0.38,True,TG_Potential,197911.13
1057,Stahl_Produktion_GmbH,45,29,5646.35,0.42,True,TG_Potential,245616.23
1058,Stahl_Produktion_GmbH,51,38,7520.40,0.58,True,TG_Potential,428662.80
1059,Stahl_Produktion_GmbH,55,36,7562.88,0.32,True,TG_Potential,408395.52
1060,Stahl_Produktion_GmbH,48,33,6196.83,0.59,True,TG_Potential,306743.08
1061,Stahl_Produktion_GmbH,46,32,7493.92,0.52,True,TG_Potential,359708.16
1062,Stahl_Produktion_GmbH,62,33,7241.48,0.38,True,Exklusion_Vorruhestand,358453.26
